image,method,time_ms,entropy,brightness,contrast,colorfulness,brightness_gain,contrast_gain,mse,psnr,ssim
sample_01.png,global_he,16.637,6.51047,127.85728,73.46517,15.78145,108.17139,59.29666,2578.2798,14.0175,0.73676
sample_01.png,clahe_gray,41.352,6.55813,43.90936,30.09186,0.0,24.22347,15.92334,6641.79852,9.90795,0.49049
sample_01.png,clahe_hsv,106.061,6.5622,38.65179,27.26315,32.86825,18.96589,13.09464,7072.88498,9.63484,0.42545
sample_01.png,gamma_clahe,120.457,6.97327,57.93614,33.04152,35.72611,38.25025,18.87301,4376.29793,11.71973,0.61447
sample_01.png,proposed,242.795,7.464,72.96509,59.3322,61.44424,53.2792,45.16369,3024.30759,13.32454,0.77754
sample_02.png,global_he,15.804,6.63948,127.70008,73.85353,14.68428,106.15897,59.14621,2079.30899,14.95161,0.76582
sample_02.png,clahe_gray,38.569,6.60827,45.46445,29.04364,0.0,23.92334,14.33632,6852.22295,9.77249,0.47579
sample_02.png,clahe_hsv,151.538,6.6286,40.91583,26.86309,30.25653,19.37473,12.15577,7454.95492,9.40635,0.42505
sample_02.png,gamma_clahe,125.622,7.01595,60.95453,32.93464,32.96603,39.41343,18.22732,4535.02688,11.565,0.62253
sample_02.png,proposed,263.907,7.57821,77.9702,58.39145,56.33625,56.42909,43.68413,2980.0331,13.38859,0.79357
sample_03.png,global_he,16.039,6.38052,128.04862,73.59945,15.21607,109.65476,58.88244,2818.24427,13.63102,0.71115
sample_03.png,clahe_gray,45.496,6.4588,40.38082,28.0363,0.0,21.98696,13.31929,5680.54578,10.5869,0.47317
sample_03.png,clahe_hsv,93.256,6.47805,36.15627,26.05315,31.50308,17.76241,11.33614,6160.60593,10.23457,0.41932
sample_03.png,gamma_clahe,139.325,6.90185,54.88014,31.5636,35.42276,36.48628,16.84659,3763.03636,12.37542,0.61339
sample_03.png,proposed,280.259,7.4618,73.0673,57.75052,62.46153,54.67344,43.03352,2481.6951,14.18332,0.79616
sample_04.png,global_he,30.583,6.47965,127.61322,73.65873,16.19369,107.86918,57.21083,2495.67576,14.15892,0.73458
sample_04.png,clahe_gray,44.489,6.50294,42.03335,30.3447,0.0,22.2893,13.8968,6186.04535,10.21667,0.51726
sample_04.png,clahe_hsv,124.382,6.53833,37.66538,28.56876,32.11965,17.92134,12.12086,6482.77068,10.0132,0.46169
sample_04.png,gamma_clahe,135.161,6.96153,56.35578,34.10705,35.05622,36.61173,17.65915,3956.64627,12.15753,0.65684
sample_04.png,proposed,277.115,7.43807,72.07382,60.20098,60.09055,52.32977,43.75308,2625.60876,13.9385,0.80501
sample_05.png,global_he,24.947,6.31873,128.67392,73.50883,15.32288,110.8519,60.85378,3352.91326,12.87658,0.6289
sample_05.png,clahe_gray,42.521,6.41011,40.05371,25.76787,0.0,22.23169,13.11283,6027.33683,10.32955,0.45609
sample_05.png,clahe_hsv,137.677,6.3994,35.55428,24.31789,32.4588,17.73226,11.66285,6310.82329,10.12994,0.41283
sample_05.png,gamma_clahe,146.143,6.82649,54.57713,29.64118,36.312,36.75512,16.98613,3843.91368,12.28307,0.60371
sample_05.png,proposed,248.232,7.41777,71.38336,53.9399,65.23079,53.56134,41.28485,2662.15704,13.87847,0.75626
